"filename", "language", "Ini", "CSS", "JavaScript", "comment", "blank", "total"
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\accounting_hours\common.js", "JavaScript", 0, 0, 70, 1, 2, 73
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\accounting_hours\desktop.ini", "Ini", 7, 0, 0, 0, 0, 7
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\activity\common.js", "JavaScript", 0, 0, 163, 16, 19, 198
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\activity\desktop.ini", "Ini", 7, 0, 0, 0, 0, 7
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\bootstrap.min.css", "CSS", 0, 1, 0, 6, 0, 7
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\desktop.ini", "Ini", 7, 0, 0, 0, 0, 7
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\fullcalendar\desktop.ini", "Ini", 7, 0, 0, 0, 0, 7
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\fullcalendar\main.css", "CSS", 0, 1213, 0, 111, 123, 1447
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\fullcalendar\main.js", "JavaScript", 0, 0, 13630, 892, 217, 14739
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\images\desktop.ini", "Ini", 7, 0, 0, 0, 0, 7
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\desktop.ini", "Ini", 7, 0, 0, 0, 0, 7
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\i18n\desktop.ini", "Ini", 7, 0, 0, 0, 0, 7
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\i18n\jsgrid-de.js", "JavaScript", 0, 0, 41, 0, 6, 47
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\i18n\jsgrid-es.js", "JavaScript", 0, 0, 41, 0, 6, 47
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\i18n\jsgrid-fr.js", "JavaScript", 0, 0, 41, 0, 7, 48
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\i18n\jsgrid-he.js", "JavaScript", 0, 0, 41, 0, 6, 47
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\i18n\jsgrid-ja.js", "JavaScript", 0, 0, 41, 0, 5, 46
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\i18n\jsgrid-ka.js", "JavaScript", 0, 0, 41, 0, 6, 47
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\i18n\jsgrid-pl.js", "JavaScript", 0, 0, 57, 0, 6, 63
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\i18n\jsgrid-pt-br.js", "JavaScript", 0, 0, 41, 0, 6, 47
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\i18n\jsgrid-pt.js", "JavaScript", 0, 0, 41, 0, 6, 47
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\i18n\jsgrid-ru.js", "JavaScript", 0, 0, 41, 0, 7, 48
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\i18n\jsgrid-tr.js", "JavaScript", 0, 0, 41, 0, 7, 48
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\i18n\jsgrid-zh-cn.js", "JavaScript", 0, 0, 41, 0, 6, 47
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\i18n\jsgrid-zh-tw.js", "JavaScript", 0, 0, 41, 0, 6, 47
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\jsgrid-theme.css", "CSS", 0, 207, 0, 6, 46, 259
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\jsgrid-theme.min.css", "CSS", 0, 1, 0, 5, 1, 7
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\jsgrid.css", "CSS", 0, 99, 0, 5, 23, 127
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\jsgrid.js", "JavaScript", 0, 0, 1961, 5, 551, 2517
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\jsgrid.min.css", "CSS", 0, 1, 0, 5, 1, 7
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\jsgrid-1.5.3\jsgrid.min.js", "JavaScript", 0, 0, 2, 5, 1, 8
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\maintenance\common.js", "JavaScript", 0, 0, 12, 2, 6, 20
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\maintenance\desktop.ini", "Ini", 7, 0, 0, 0, 0, 7
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\style.css", "CSS", 0, 109, 0, 5, 28, 142
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\timesheet\common.js", "JavaScript", 0, 0, 162, 5, 17, 184
"g:\Il mio Drive\sviluppo_sw\Sviluppo_ArtigianoInCloud\ArtigianoInCloud\flaskr\static\timesheet\desktop.ini", "Ini", 7, 0, 0, 0, 0, 7
"Total", "-", 63, 1631, 16549, 1069, 1115, 20427